key,ticker,company,year,sector,digital,digital_msu,all_body_mentions_company,all_title_mentions_company,log_assets,roa,debt_to_assets,revenue_growth,cash_to_assets,capex_to_assets,total_assets,revenue,capex,debt
KAZT_2024,KAZT,Куйбышевазот,2024,Industrials,0.003597871011864,0.0046980464452439,24,0,25.8034271937,0.077736318408,0.25684079602,0.00123609394314,0.135572139303,0.05907960199,160800000000,81000000000,9500000000,41300000000
KMAZ_2020,KMAZ,КАМАЗ,2020,Industrials,0.0043776479894243,0.00295816312156642,1,0,26.1548020473,0.014,4.16192560175e-9,0.120273109244,0.0800875273523,0.0603938730853,228500000000,213300000000,13800000000,951
,,,,,,,,,,,,,,,,,,
KMAZ_2022,KMAZ,КАМАЗ,2022,Industrials,0.0044502132393843,0.0051919154459484,1,1,26.5492659443,0.0551622418879,0.355752212389,0.0858098068351,0.162536873156,0.0480825958702,339000000000,292300000000,16300000000,120600000000
KMAZ_2023,KMAZ,КАМАЗ,2023,Industrials,0.0051553773449806,0.0063726192181011,9,0,26.8723749531,0.0420670510357,0.307495195388,0.266849127609,0.195601110399,0.0679051889814,468300000000,370300000000,31800000000,144000000000
KMAZ_2024,KMAZ,КАМАЗ,2024,Industrials,0.0044802867383512,0.0060483870967741,24,2,27.0449330077,-0.000319856244385,0.40539083558,0.0631920064812,0.117520215633,0.052111410602,556500000000,393700000000,29000000000,225600000000
KUBE_2020,KUBE,Россети Кубань,2020,Energy,0.00598675869840823,0.00289779244561608,0,0,25.0526825213,-0.0163372859025,0.388669301713,-0.0294,0.0098814229249,0.064558629776,75900000000,49600000000,4900000000,29500000000
KUBE_2021,KUBE,Россети Кубань,2021,Energy,0.0058557857031615,0.00268909307999792,0,0,25.0657717135,0.0241872561769,0.336801040312,0.16935483871,0.0257477243173,0.0781534460338,76900000000,58000000000,6010000000,25900000000
KUBE_2022,KUBE,Россети Кубань,2022,Energy,0.0060286605782626,0.0070307217284332,0,0,25.1926162998,0.0652920962199,0.285223367698,0.106896551724,0.0481099656357,0.126002290951,87300000000,64200000000,11000000000,24900000000
KUBE_2023,KUBE,Россети Кубань,2023,Energy,0.0052749210715513,0.0062283142133725,0,0,25.3914108221,0.0640375586854,0.214084507042,0.169781931464,0.123004694836,0.142723004695,106500000000,75100000000,15200000000,22800000000
KUBE_2024,KUBE,Россети Кубань,2024,Energy,0.0054216464253575,0.006403343720484,0,0,25.5854011227,0.0889404485692,0.201082753287,0.179760319574,0.134570765661,0.15313225058,129300000000.00002,88600000000,19800000000,26000000000
KZOS_2020,KZOS,Казаньоргсинтез,2020,Industrials,0.00229095074455899,0.000996065541112605,0,0,25.0407539505,0.112,0,-0.133608815427,0.102666666667,0.0809333333333,75000000000,62900000000,6070000000,
,,,,,,,,,,,,,,,,,,
KZOS_2022,KZOS,Казаньоргсинтез,2022,Industrials,0.0025529500756429,0.0039712556732223,0,0,25.9289195186,0.0581459133297,0.0603400987383,0.0532128514056,0.00353263850795,0.121228743829,182300000000,104900000000,22100000000,11000000000
KZOS_2023,KZOS,Казаньоргсинтез,2023,Industrials,0.0028699551569506,0.0044843049327354,11,0,26.0943688732,0.0339377033938,0.158530915853,-0.0467111534795,0.00304509530451,0.191073919107,215100000000,100000000000,41100000000,34100000000
KZOS_2024,KZOS,Казаньоргсинтез,2024,Industrials,0.0022502034758462,0.0035428735577153,30,0,25.6923844508,0.0868658790827,0.0771369006254,0.046,0.00447533009034,0.136900625434,143900000000,104600000000,19700000000,11100000000
,,,,,,,,,,,,,,,,,,
LENT_2021,LENT,Лента,2021,Retail,0.0055738535596655,0.0065872814796047,1,0,26.3862263171,0.0472222222222,0.306944444444,0.0855,0.115625,0.106944444444,288000000000,483600000000,30800000000,88400000000
LENT_2022,LENT,Лента,2022,Retail,0.0089327691584391,0.0117536436295251,0,0,26.5754683167,0.0139367816092,0.233045977011,0.111248966088,0.0833333333333,0.0293103448276,348000000000,537400000000,10200000000,81100000000
LENT_2023,LENT,Лента,2023,Retail,0.0063684126731412,0.0080003184206336,2,0,26.8592635348,-0.00569017741238,0.302682821289,0.146073688128,0.0962786672436,0.024015577672,462200000000,615900000000,11100000000,139900000000
LENT_2024,LENT,Лента,2024,Retail,0.005144879028402,0.0065793248541646,0,0,26.928631354,0.0454178441663,0.217803794913,0.442279590843,0.0948728300363,0.0613645538958,495400000000,888300000000,30400000000,107900000000
LKOH_2020,LKOH,ЛУКОЙЛ,2020,Oil & Gas,0.0043720546865201,0.00209643605870021,12,0,29.4214463621,0.003,1.10096795728e-9,-0.280831526591,0.0573765020027,0.0826101468625,5992000000000,5639000000000,495000000000,6597
